ap_syndicated,collect_date,feeds,guid,language,media_id,media_name,media_url,metadata,processed_stories_id,publish_date,stories_id,story_tags,title,url,word_count
False,2023-01-16 18:33:19.828836,,article 1534324 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2912294861,2023-01-16 18:26:36,2537641263,[],AmCham nombra a Pedro Casas como nuevo vicepresidente ejecutivo y director general,https://www.milenio.com/negocios/amcham-nombra-pedro-casas-vicepresidente-ejecutivo,
False,2023-01-17 12:30:40.672606,,article 1534687 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2913019017,2023-01-17 11:33:00,2538453415,[],La Frmula 1 no reemplazar el Gran Premio de China; habr 23 carreras en 2023,https://www.milenio.com/deportes/f1/f1-no-reemplazara-el-gran-premio-de-china-estas-son-las-23-carreras,
False,2023-01-17 16:36:43.438775,,article 1534889 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2913210852,2023-01-17 16:06:36,2538671198,[],Certifican a Acciona con el ?Top Employer 2023?,https://www.milenio.com/content/acciona-lider-manejo-cuidado-recursos-humanos,
False,2023-01-17 16:36:48.841816,,article 1534881 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2913210965,2023-01-17 15:49:00,2538671309,[],Dan el banderazo inicial a exportacin de aguacate michoacano para el Super Bowl LVII,https://www.milenio.com/politica/inicia-exportacion-de-aguacate-michoacano-para-el-super-bowl,
False,2023-01-18 00:31:18.138485,,article 1535169 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2913439939,2023-01-17 23:40:25,2538942056,[],Presentan programa Jvenes Construyendo el Futuro ante CanCham,https://www.milenio.com/negocios/presentan-programa-jovenes-construyendo-futuro-cancham,
False,2023-01-18 15:37:47.696926,,article 1535314 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2914184022,2023-01-18 15:07:00,2539761721,[],NFL playoffs 2023: Cundo empieza la Ronda Divisional?,https://www.milenio.com/deportes/americano/ronda-divisional-nfl-2023-cuando-son-los-partidos-de-los-playoffs,
False,2023-01-21 17:47:20.366672,,article 1536881 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2916937399,2023-01-21 17:32:00,2542863524,[],Gorillaz y Bad Bunny: Todo lo que debes saber de su nueva cancin 'Tormenta',https://www.milenio.com/espectaculos/musica/bad-bunny-gorillaz-estrena-cancion-tormenta,
False,2023-01-21 17:47:26.683348,,article 1537199 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2916937507,2023-01-21 16:49:00,2542863634,[],"""Hoy mi agresor ha quedado libre"": Mara Elena Ros, saxofonista atacada con cido en Oaxaca",https://www.milenio.com/politica/maria-elena-rios-liberan-a-presunto-agresor-de-saxofonista,
False,2023-01-22 16:35:31.016347,,article 1537441 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2917542535,2023-01-22 16:08:43,2543566017,[],Lisa Marie Presley ya descansa cerca de su padre Elvis; as fue su homenaje en Graceland,https://www.milenio.com/espectaculos/famosos/lisa-marie-presley-recibe-emotivo-homenaje-descansa-elvis,
False,2023-01-23 01:04:15.906107,,article 1537581 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2917721313,2023-01-22 23:41:17,2543777199,[],"INE analiza ""probables impactos"" de plan B de AMLO en elecciones",https://www.milenio.com/politica/ine-analiza-probables-impactos-plan-amlo-elecciones,
False,2023-01-23 16:06:55.186460,,article 1537879 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2918413596,2023-01-23 15:47:51,2544542591,[],Mara Elena Ros proceder contra juez que liber a su agresor,https://www.milenio.com/policia/maria-elena-rios-procedera-juez-libero-agresor,
